Site,HiLo,SiteLength(m),SlopeAngle,AvgDailMaxCurr,InvertSpRichness,Invert_Biomass,AvgRkCov
Anniversary_Is,Low,21.286,29.7,22.5,13.1,5394,100
Bedwell_Hbr,Low,23.791,27,38.8,22.2,10294,97.8
Blunden_It,High,50.052,13.6,72.8,19.1,13666,96.7
Burial_Is,High,77.704,8.9,109.4,20.6,12438,88.9
Coffin_Pt,Low,140.068,4.9,13.4,15.7,1833,87.8
Conconi_Rf,High,55.182,12.4,80.8,19,22611,82.2
Georgina_Pt,High,99.868,6.9,45.2,14.4,1073,91.1
Grainger_Pt,High,15.275,38.4,113.3,26.6,49577,95.6
Josef_Pt,High,20.389,30.7,85.7,28.3,57055,100
Mackenzie_Bight,Low,32.57,20.4,11.2,16.9,2376,93.9
Miriams_Wed_Spot,Low,24.371,26.4,21.7,18.9,3833,97.8
Paddy_Mile,Low,48.329,14.1,26.0,14.4,8222,85.6
Snake_Is,Low,88.467,7.8,20.4,17.3,861,95.6
Vernaci_Pt,High,40.316,16.7,116.7,28.4,23166,97.8
